feature_set,n_trees,max_depth_cfg,max_features,internal_nodes,leaves,max_depth,features_used,n_features_used,test_accuracy,test_f1,test_recall,test_precision,test_fpr,test_fp,test_fn,train_accuracy,cycles_per_frame,latency_us_at_100mhz
timing,7,6,all,10,17,2,"dt_ratio_q6,dt_bus,id_rate",3,1.0,1.0,1.0,1.0,0.0,0,0,0.9999993937913321,6,0.06
timing,7,8,sqrt,37,44,8,"dt_id,dt_id_dev,dt_ratio_q6,hd,dt_bus,burst,pl_popcount,id_rate,bus_rate",9,1.0,1.0,1.0,1.0,0.0,0,0,0.9999993937913321,12,0.12
timing,7,8,all,10,17,2,"dt_ratio_q6,dt_bus,id_rate",3,1.0,1.0,1.0,1.0,0.0,0,0,0.9999993937913321,6,0.06
timing,9,2,sqrt,21,30,2,"dt_id,dt_id_dev,dt_ratio_q6,dt_bus,burst,pl_popcount,id_rate",7,0.9999993937913321,0.9999966185028759,0.9999932370286209,1.0,0.0,0,1,0.9999993937913321,6,0.06
timing,9,2,all,13,22,2,"dt_ratio_q6,dt_bus,id_rate",3,1.0,1.0,1.0,1.0,0.0,0,0,0.9999993937913321,6,0.06
timing,9,3,sqrt,34,43,3,"dt_id,dt_id_dev,dt_ratio_q6,hd,dt_bus,burst,pl_popcount,id_rate",8,0.9999993937913321,0.9999966185028759,0.9999932370286209,1.0,0.0,0,1,0.9999993937913321,7,0.07
timing,9,3,all,13,22,2,"dt_ratio_q6,dt_bus,id_rate",3,1.0,1.0,1.0,1.0,0.0,0,0,0.9999993937913321,6,0.06
timing,9,4,sqrt,46,55,4,"dt_id,dt_id_dev,dt_ratio_q6,hd,dt_bus,burst,pl_popcount,id_rate,bus_rate",9,0.9999993937913321,0.9999966185028759,0.9999932370286209,1.0,0.0,0,1,0.9999993937913321,8,0.08
timing,9,4,all,13,22,2,"dt_ratio_q6,dt_bus,id_rate",3,1.0,1.0,1.0,1.0,0.0,0,0,0.9999993937913321,6,0.06
timing,9,5,sqrt,47,56,5,"dt_id,dt_id_dev,dt_ratio_q6,hd,hd_dev,dt_bus,burst,pl_popcount,id_rate,bus_rate",10,0.9999993937913321,0.9999966185028759,0.9999932370286209,1.0,0.0,0,1,0.9999993937913321,9,0.09
timing,9,5,all,13,22,2,"dt_ratio_q6,dt_bus,id_rate",3,1.0,1.0,1.0,1.0,0.0,0,0,0.9999993937913321,6,0.06
timing,9,6,sqrt,53,62,6,"dt_id,dt_id_dev,dt_ratio_q6,hd,hd_dev,dt_bus,burst,pl_popcount,id_rate,bus_rate",10,0.9999993937913321,0.9999966185028759,0.9999932370286209,1.0,0.0,0,1,0.9999993937913321,10,0.1
timing,9,6,all,13,22,2,"dt_ratio_q6,dt_bus,id_rate",3,1.0,1.0,1.0,1.0,0.0,0,0,0.9999993937913321,6,0.06
timing,9,8,sqrt,50,59,8,"dt_id,dt_id_dev,dt_ratio_q6,hd,hd_dev,dt_bus,burst,pl_popcount,id_rate,bus_rate",10,0.9999993937913321,0.9999966185028759,0.9999932370286209,1.0,0.0,0,1,0.9999993937913321,12,0.12
timing,9,8,all,13,22,2,"dt_ratio_q6,dt_bus,id_rate",3,1.0,1.0,1.0,1.0,0.0,0,0,0.9999993937913321,6,0.06
no_rate,1,2,sqrt,2,3,2,"dt_id,pl_popcount",2,0.9992246591137108,0.9956568246260421,0.9914718930909484,0.999877234502561,1.1986151999057089e-05,18,1261,0.9978849379575738,6,0.06
no_rate,1,2,all,2,3,2,"dt_ratio_q6,dt_bus",2,1.0,1.0,1.0,1.0,0.0,0,0,0.9999993937913321,6,0.06
no_rate,1,3,sqrt,4,5,3,"dt_id,dt_id_dev,pl_popcount",3,0.9992246591137108,0.9956568246260421,0.9914718930909484,0.999877234502561,1.1986151999057089e-05,18,1261,0.9978849379575738,7,0.07
no_rate,1,3,all,2,3,2,"dt_ratio_q6,dt_bus",2,1.0,1.0,1.0,1.0,0.0,0,0,0.9999993937913321,6,0.06
no_rate,1,4,sqrt,7,8,4,"dt_id,dt_id_dev,dt_bus,pl_popcount",4,0.9995453434990486,0.9974648115847969,0.9978290861873073,0.9971008028545941,0.0002856699559775273,429,321,0.9989167051103996,8,0.08
