feature_set,n_trees,max_depth_cfg,max_features,internal_nodes,leaves,max_depth,features_used,n_features_used,test_accuracy,test_f1,test_recall,test_precision,test_fpr,test_fp,test_fn,train_accuracy
timing,9,6,sqrt,231,240,6,"dt_id,dt_id_dev,dt_ratio_q6,hd,hd_dev,dt_bus,burst,pl_violation,pl_popcount,id_rate,bus_rate,pl_track_dev",12,0.9953704936491694,0.9871430533399538,0.9998608926412207,0.9747446824047319,0.005600212812713247,2421,13,0.9950566610493802
timing,9,6,all,263,272,6,"dt_id,dt_id_dev,dt_ratio_q6,hd,hd_dev,burst,pl_violation,pl_popcount,id_rate,bus_rate,pl_track_dev",11,0.9940333765724916,0.9833652382795721,0.9921778862101805,0.9747077621730721,0.005565515087727415,2406,731,0.9951555658687077
timing,9,8,sqrt,489,498,8,"dt_id,dt_id_dev,dt_ratio_q6,hd,hd_dev,dt_bus,burst,pl_violation,pl_popcount,id_rate,bus_rate,pl_track_dev",12,0.9953857097752198,0.9871858526742798,0.9999464971697003,0.9747467898903712,0.005600212812713247,2421,5,0.9950699751596742
timing,9,8,all,652,661,8,"dt_id,dt_id_dev,dt_ratio_q6,hd,hd_dev,burst,pl_violation,pl_popcount,id_rate,bus_rate,pl_track_dev",11,0.9938146447605172,0.9827443489334606,0.9909152194151071,0.9747071268432852,0.005558575542730248,2403,849,0.9951917041680773
no_track,1,2,sqrt,3,4,2,"dt_id_dev,dt_ratio_q6,bus_rate",3,0.9675306890242279,0.9162812823367287,0.9996361807539619,0.8457575867313681,0.039409676038907715,17037,34,0.9826460082395323
no_track,1,2,all,3,4,2,"dt_id,hd_dev",2,0.9951669779632455,0.9865865696775181,0.9999464971697003,0.973578929821637,0.00586622870427129,2536,5,0.9950623670966491
no_track,1,3,sqrt,5,6,3,"dt_id,dt_id_dev,dt_ratio_q6,hd_dev,bus_rate",5,0.9953343553497997,0.9870411165876878,0.9996361807539619,0.9747594899726622,0.005595586449381802,2419,34,0.9950167187184978
no_track,1,3,all,5,6,3,"dt_id,hd_dev,id_rate",3,0.9951669779632455,0.9865865696775181,0.9999464971697003,0.973578929821637,0.00586622870427129,2536,5,0.9950623670966491
no_track,1,4,sqrt,7,8,4,"dt_id,dt_id_dev,dt_ratio_q6,hd_dev,pl_popcount,bus_rate",6,0.9953343553497997,0.9870411165876878,0.9996361807539619,0.9747594899726622,0.005595586449381802,2419,34,0.9950167187184978
no_track,1,4,all,9,10,4,"dt_id,dt_id_dev,hd_dev,burst,id_rate",5,0.9951669779632455,0.9865865696775181,0.9999464971697003,0.973578929821637,0.00586622870427129,2536,5,0.9950623670966491
